Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2018","2018","t","46439.05","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2019","2019","t","86080.41","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2020","2020","t","108187.95","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2021","2021","t","122653.95","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2022","2022","t","130603.68","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2023","2023","t","99327.57","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2024","2024","t","73930.39","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1991","1991","t","6968","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1992","1992","t","7458","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1993","1993","t","6839","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1994","1994","t","4365","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1995","1995","t","2190","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1996","1996","t","2350","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1997","1997","t","23637","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1998","1998","t","17414","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","1999","1999","t","21130","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","2000","2000","t","19599.61","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","2001","2001","t","12490","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","2002","2002","t","15781","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","2003","2003","t","21000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","F0665","Cocoa powder and cake","2004","2004","t","23800","X","Value from external organization","Estimated data using trading partners database"
